Suj;Explicaiblity;Satisfaction;Utilisability;Manip
20;Unguided;46.0938;46.0938;2
20;Guided;46.0938;48.6979;2
20;Unguided;48.6979;40.8854;2
20;Guided;47.3958;48.6979;2
21;Guided;73.4375;50;2
21;Unguided;83.8542;72.1354;2
21;Guided;91.6667;78.6458;2
21;Unguided;57.8125;68.2292;2
21;Guided;52.6042;52.6042;2
21;Unguided;87.7604;87.7604;2
21;Unguided;60.4167;60.4167;2
21;Guided;57.8125;76.0417;2
21;Unguided;53.9063;42.1875;2
21;Guided;77.3438;85.1563;2
21;Unguided;43.4896;61.7188;2
21;Guided;64.3229;70.8333;2
22;Guided;56.5104;77.3438;2
22;Unguided;77.3438;86.4583;2
22;Guided;68.2292;74.7396;2
22;Unguided;76.0417;83.8542;2
22;Guided;56.5104;60.4167;2
22;Unguided;66.9271;73.4375;2
22;Unguided;86.4583;90.3646;2
22;Guided;85.1563;94.2708;2
22;Unguided;86.4583;92.9688;2
22;Guided;83.8542;89.0625;2
22;Unguided;43.4896;59.1146;2
22;Guided;73.4375;83.8542;2
23;Guided;74.7396;76.0417;2
23;Unguided;66.9271;64.3229;2
23;Guided;60.4167;60.4167;2
23;Unguided;72.1354;70.8333;2
23;Guided;74.7396;77.3438;2
23;Unguided;73.4375;77.3438;2
23;Guided;50;52.6042;2
23;Unguided;68.2292;65.625;2
23;Guided;73.4375;70.8333;2
23;Unguided;73.4375;74.7396;2
23;Guided;76.0417;78.6458;2
23;Unguided;74.7396;77.3438;2
24;Guided;78.6458;76.0417;2
24;Unguided;82.5521;65.625;2
24;Guided;53.9063;56.5104;2
24;Unguided;57.8125;68.2292;2
24;Guided;64.3229;55.2083;2
24;Unguided;69.5313;82.5521;2
24;Unguided;46.0938;43.4896;2
24;Guided;48.6979;53.9063;2
24;Guided;47.3958;64.3229;2
24;Unguided;53.9063;59.1146;2
24;Guided;48.3958;65.3229;2
24;Unguided;55.9063;52.1146;2
26;Guided;53.9063;59.1146;2
26;Unguided;50;50;2
26;Guided;59.1146;59.1146;2
26;Unguided;59.1146;59.1146;2
26;Guided;59.1146;60.4167;2
26;Unguided;57.8125;60.4167;2
26;Guided;50;39.5833;2
26;Unguided;68.2292;70.8333;2
26;Guided;72.1354;68.2292;2
26;Unguided;60.4167;42.1875;2
26;Guided;60;39.5583;2
26;Unguided;71.2292;73.8333;2
27;Guided;87.7604;76.0417;2
27;Unguided;33.0729;39.5833;2
27;Guided;89.0625;86.4583;2
27;Unguided;26.5625;40.8854;2
