NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;7;Forced;Easy;Correct;0.75;Unguided;Correct;Used;750;5
1;7;Free;Easy;Correct;0.25;Unguided;Correct;Used;300;5
1;7;Forced;Easy;Correct;0.25;Unguided;Correct;Used;520;6
1;7;Free;Easy;Correct;1.25;Unguided;Correct;Used;-249;5
1;7;Free;Easy;Correct;0.75;Unguided;Correct;Used;-190;5
1;7;Free;Easy;Correct;0.25;Unguided;Correct;Used;530;5
1;7;Free;Easy;Correct;1.25;Unguided;Correct;Used;-360;6
1;7;Free;Easy;Correct;0.75;Unguided;Correct;Used;750;5
1;7;Free;Hard;Correct;0.25;Unguided;Correct;Used;305;5
1;7;Forced;Hard;Error;0.25;Unguided;Error;Used;317;5
1;7;Forced;Medium;Error;0.75;Unguided;Error;Used;-183;5
1;7;Forced;Medium;Correct;0.75;Unguided;Correct;Used;-160;6
1;7;Forced;Hard;Correct;0.75;Unguided;Correct;Used;150;5
1;7;Free;Hard;Correct;0.75;Unguided;Correct;Used;253;5
1;7;Free;Medium;Correct;1.25;Unguided;Correct;Used;249;5
1;7;Free;Hard;Correct;0.75;Unguided;Correct;Used;30;5
1;8;Free;Easy;Correct;0.75;Guided;Correct;Felt;-190;6
1;8;Free;Medium;Correct;1.25;Guided;Error;Felt;-796;5
1;8;Free;Hard;Error;0.25;Guided;Error;Felt;340;5
1;8;Forced;Medium;Correct;0.25;Guided;Correct;Felt;749;5
1;8;Free;Medium;Error;0.25;Guided;Error;Felt;346;5
1;8;Free;Medium;Correct;0.75;Guided;Error;Felt;248;4
1;8;Forced;Medium;Correct;1.25;Guided;Correct;Felt;-695;5
1;8;Forced;Easy;Correct;0.75;Guided;Correct;Felt;-152;5
1;8;Free;Easy;Correct;0.75;Guided;Error;Felt;249;4
1;8;Free;Medium;Correct;1.25;Guided;Correct;Felt;-139;5
1;8;Forced;Hard;Correct;0.25;Guided;Correct;Felt;752;6
1;8;Free;Medium;Correct;0.25;Guided;Error;Felt;746;6
1;8;Forced;Easy;Correct;0.25;Guided;Correct;Felt;961;4
1;8;Free;Hard;Correct;1.25;Guided;Error;Felt;-384;7
1;8;Free;Hard;Correct;0.75;Guided;Correct;Felt;361;6
1;8;Free;Hard;Correct;0.75;Guided;Correct;Felt;750;6
1;8;Free;Hard;Correct;1.25;Guided;Correct;Felt;245;5
1;8;Forced;Medium;Correct;0.25;Guided;Correct;Felt;872;5
1;8;Forced;Hard;Error;0.75;Guided;Error;Felt;544;5
1;8;Forced;Medium;Correct;0.75;Guided;Correct;Felt;-291;3
1;8;Free;Hard;Correct;0.25;Guided;Error;Felt;1250;5
1;8;Free;Easy;Correct;0.25;Guided;Error;Felt;950;5
1;8;Forced;Medium;Correct;1.25;Guided;Correct;Felt;140;5
1;8;Free;Easy;Correct;1.25;Guided;Correct;Felt;-51;5
1;8;Free;Easy;Correct;0.25;Guided;Correct;Felt;250;5
1;8;Forced;Hard;Correct;1.25;Guided;Correct;Felt;-251;4
1;8;Forced;Easy;Correct;0.75;Guided;Correct;Felt;0;5
1;8;Forced;Hard;Error;0.75;Guided;Error;Felt;140;5
1;8;Free;Medium;Correct;0.75;Guided;Error;Felt;361;5
1;8;Forced;Hard;Correct;0.25;Guided;Correct;Felt;509;5
